Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
10001,"GENET, LAKESHA",F,"$75,000.00",HHS,Department of Health and Human Services,Chief Operating Officer,Fulltime-Regular,Program Manager II,JENNIFER MARTINEZ,Filled,11/16/14,11/29/14,12/10/14,12/27/14,1/9/15,1/20/15,1/25/15,1/30/15
10002,"LEQUIRE, JOSEPHINE",F,"$80,000.00",HHS,Department of Health and Human Services,Senior Health Promotion,Fulltime-Regular,Program Manager I,MARIA TAYLOR,Filled,11/25/14,12/11/14,12/17/14,1/7/15,1/17/15,1/20/15,1/24/15,1/30/15
10003,"SCHIMEL, TERRELL",M,"$39,062.00",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/10/14,11/23/14,12/8/14,12/25/14,1/6/15,1/12/15,1/24/15,1/30/15
10004,"HELLWEGE, CHAU",F,"$39,062.00",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/19/14,11/28/14,12/6/14,12/24/14,1/5/15,1/14/15,1/23/15,1/30/15
10005,"GIRSCH, CLINTON",M,"$39,062.00",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/13/14,11/23/14,12/6/14,12/25/14,1/5/15,1/11/15,1/23/15,1/30/15
10006,"MANGOLD, NIGEL",M,"$39,062.00",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,12/7/14,12/14/14,12/17/14,1/4/15,1/14/15,1/17/15,1/22/15,1/30/15
10007,"PANITZ, LUPITA",F,"$39,062.00",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/17/14,12/7/14,12/11/14,12/31/14,1/5/15,1/17/15,1/22/15,1/30/15
10008,"MORIYAMA, COLEMAN",M,"$39,062.00",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/9/14,11/17/14,11/23/14,12/18/14,1/1/15,1/16/15,1/21/15,1/30/15
10009,"COTTINGTON, NADA",F,"$80,000.00",HHS,Department of Health and Human Services,African American Health Program,Fulltime-Regular,Program Manager II,RICHARD THOMAS,Filled,11/28/14,12/13/14,12/19/14,1/4/15,1/10/15,1/14/15,1/21/15,1/30/15
10010,"SCHEU, DEE",M,"$39,062.00",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/11/14,11/22/14,12/3/14,12/21/14,1/8/15,1/13/15,1/18/15,1/30/15
10011,"TREFT, PETER",M,"$39,062.00",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/17/14,11/27/14,12/3/14,12/26/14,1/6/15,1/10/15,1/18/15,1/30/15
10012,"ARBERRY, CORALIE",F,"$33,229.00",PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,CHARLES MOORE,Filled,11/12/14,11/28/14,12/6/14,12/26/14,1/7/15,1/9/15,1/17/15,1/30/15
